Season,Lg,ORtg,DRtg,Playoffs,id,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,NBA,101.5,102.5,No,200,NJN,34.0,48.0,5.0,26.1,6-6,201.0,82.0,241.5,42.1,91.5,0.461,1.0,3.6,0.285,41.1,87.9,0.468,23.0,29.3,0.782,15.0,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3
1975-76,ABA,104.4,101.7,Yes,204,NYA,55.0,29.0,2.0,25.4,6-5,203.0,84.0,242.7,44.7,97.0,0.46,1.3,4.4,0.298,43.3,92.6,0.468,21.1,27.8,0.761,17.8,32.7,50.5,21.6,10.9,6.2,18.2,26.3,111.8
1974-75,ABA,106.3,98.9,Yes,205,NYA,58.0,26.0,2.0,24.5,6-5,201.0,84.0,242.7,46.2,94.6,0.488,0.8,3.0,0.274,45.4,91.6,0.495,17.9,23.0,0.778,14.5,33.0,47.5,23.9,10.9,6.1,16.7,23.2,111.0
1973-74,ABA,103.5,98.4,Yes,206,NYA,55.0,29.0,1.0,23.4,6-5,200.0,84.0,241.5,45.9,95.7,0.48,1.0,3.0,0.316,44.9,92.6,0.485,16.6,22.0,0.754,15.9,33.0,48.9,24.1,9.9,6.8,19.2,23.6,109.4
2024-25,NBA,107.3,116.6,No,213,CHO,19.0,63.0,4.0,25.1,6-6,208.0,82.0,240.9,38.3,89.1,0.43,13.0,38.3,0.339,25.3,50.8,0.499,15.5,19.8,0.783,12.2,33.0,45.2,24.3,7.4,4.5,15.5,18.7,105.1
2023-24,NBA,109.3,119.8,No,214,CHO,21.0,61.0,4.0,25.1,6-7,210.0,82.0,240.6,40.0,87.0,0.46,12.1,34.0,0.355,28.0,53.0,0.528,14.5,18.4,0.786,9.3,31.0,40.3,24.8,6.9,4.5,13.8,18.0,106.6
2022-23,NBA,109.2,115.3,No,215,CHO,27.0,55.0,5.0,25.3,6-6,212.0,82.0,241.8,41.3,90.4,0.457,10.7,32.5,0.33,30.5,57.9,0.528,17.6,23.6,0.749,11.0,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111.0
2021-22,NBA,114.1,113.7,No,216,CHO,43.0,39.0,3.0,25.5,6-6,211.0,82.0,242.4,42.8,91.4,0.468,13.9,38.2,0.365,28.8,53.3,0.542,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3
2020-21,NBA,110.9,112.8,No,217,CHO,33.0,39.0,4.0,24.6,6-5,213.0,72.0,241.0,39.9,87.8,0.455,13.7,37.0,0.369,26.3,50.8,0.517,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5
2019-20,NBA,106.3,113.3,No,218,CHO,23.0,42.0,3.0,24.3,6-5,217.0,65.0,242.3,37.3,85.9,0.434,12.1,34.3,0.352,25.2,51.6,0.489,16.2,21.6,0.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9
2018-19,NBA,111.4,112.5,No,219,CHO,39.0,43.0,2.0,26.6,6-5,215.0,82.0,241.8,40.2,89.8,0.448,11.9,33.9,0.351,28.3,55.8,0.507,18.4,23.1,0.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7
2017-18,NBA,109.4,109.1,No,220,CHO,36.0,46.0,3.0,26.6,6-7,218.0,82.0,241.2,39.0,86.7,0.45,10.0,27.2,0.369,28.9,59.4,0.487,20.2,27.0,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2
2016-17,NBA,108.8,108.6,No,221,CHO,36.0,46.0,4.0,26.5,6-7,215.0,82.0,241.8,37.7,85.4,0.442,10.0,28.6,0.351,27.7,56.7,0.488,19.4,23.8,0.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9
2015-16,NBA,107.2,104.3,Yes,222,CHO,48.0,34.0,3.0,26.0,6-7,216.0,82.0,242.1,37.0,84.4,0.439,10.6,29.4,0.362,26.4,55.0,0.479,18.7,23.7,0.79,9.0,35.0,43.9,21.7,7.3,5.3,12.5,18.1,103.4
2014-15,NBA,100.1,103.5,No,223,CHO,33.0,49.0,4.0,26.0,6-6,220.0,82.0,242.7,35.5,84.5,0.42,6.1,19.1,0.318,29.5,65.4,0.45,17.0,22.8,0.748,10.0,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2
2013-14,NBA,103.6,103.8,Yes,224,CHA,43.0,39.0,3.0,25.5,6-6,221.0,82.0,242.7,36.3,82.1,0.442,6.3,17.9,0.351,30.0,64.1,0.468,18.0,24.4,0.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9
2012-13,NBA,101.5,111.5,No,225,CHA,21.0,61.0,4.0,24.4,6-6,219.0,82.0,241.5,34.4,81.1,0.425,5.7,17.1,0.335,28.7,64.0,0.448,18.9,25.1,0.75,11.2,29.1,40.3,19.4,7.2,5.8,14.1,19.0,93.4
2011-12,NBA,95.2,110.4,No,226,CHA,7.0,59.0,5.0,24.5,6-6,218.0,66.0,240.8,33.2,80.2,0.414,4.0,13.5,0.295,29.2,66.7,0.439,16.5,22.2,0.746,10.3,28.7,39.0,20.1,6.0,5.5,14.5,18.9,87.0
2010-11,NBA,103.4,107.8,No,227,CHA,34.0,48.0,4.0,26.9,6-6,216.0,82.0,241.5,35.0,77.6,0.451,4.8,14.7,0.327,30.2,63.0,0.48,18.4,24.4,0.756,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20.0,93.3
2009-10,NBA,104.4,102.8,Yes,228,CHA,44.0,38.0,4.0,27.4,6-6,212.0,82.0,242.4,34.9,76.9,0.453,5.6,16.2,0.346,29.2,60.7,0.482,20.0,26.6,0.751,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5,95.3
2008-09,NBA,104.7,106.1,No,229,CHA,35.0,47.0,4.0,25.8,6-6,217.0,82.0,243.0,35.0,76.8,0.455,6.0,16.3,0.366,29.0,60.5,0.479,17.7,24.0,0.74,10.8,28.9,39.7,21.2,7.1,4.8,15.6,21.4,93.6
2007-08,NBA,104.6,109.4,No,230,CHA,32.0,50.0,4.0,26.3,6-6,216.0,82.0,242.4,36.1,79.9,0.452,6.5,17.6,0.367,29.6,62.3,0.476,18.4,25.8,0.714,10.9,29.8,40.6,21.3,7.5,4.9,14.7,21.7,97.1
2006-07,NBA,103.6,107.6,No,231,CHA,33.0,49.0,4.0,25.5,6-6,217.0,82.0,244.0,36.1,81.0,0.446,5.6,15.6,0.357,30.5,65.4,0.467,19.1,26.0,0.734,11.2,28.6,39.8,22.4,7.8,4.5,14.9,24.2,96.9
2005-06,NBA,102.5,106.7,No,232,CHA,26.0,56.0,4.0,25.2,6-6,219.0,82.0,242.7,36.1,83.5,0.433,5.2,15.4,0.339,30.9,68.1,0.454,19.4,26.7,0.729,12.1,27.7,39.8,20.9,10.0,4.3,14.2,23.9,96.9
2004-05,NBA,101.1,107.5,No,233,CHA,18.0,64.0,4.0,24.9,6-7,221.0,82.0,242.4,36.1,83.6,0.432,3.9,10.7,0.363,32.2,72.9,0.442,18.1,25.6,0.709,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,94.3
2001-02,NBA,104.3,103.3,Yes,234,CHH,44.0,38.0,2.0,28.3,6-6,221.0,82.0,240.9,35.3,80.2,0.44,4.2,12.1,0.348,31.1,68.1,0.456,19.1,25.7,0.745,12.9,30.5,43.5,21.5,8.0,5.6,14.0,21.3,93.9
2000-01,NBA,101.8,99.5,Yes,235,CHH,46.0,36.0,3.0,28.2,6-6,217.0,82.0,242.4,34.1,79.3,0.431,4.1,12.0,0.346,30.0,67.3,0.446,19.5,26.2,0.745,12.6,31.8,44.4,23.2,8.1,5.5,14.4,21.4,91.9
1999-00,NBA,104.3,101.4,Yes,236,CHH,49.0,33.0,2.0,28.7,6-6,216.0,82.0,241.2,35.8,79.7,0.449,4.1,12.2,0.339,31.7,67.5,0.469,22.7,30.0,0.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4
1998-99,NBA,102.3,102.4,No,237,CHH,26.0,24.0,5.0,29.0,6-6,210.0,50.0,243.0,33.4,74.4,0.449,5.4,14.7,0.365,28.1,59.7,0.47,20.7,27.7,0.747,9.6,29.9,39.5,22.2,8.9,4.9,15.9,22.0,92.9
1997-98,NBA,107.5,105.3,Yes,238,CHH,51.0,31.0,3.0,29.2,6-6,219.0,82.0,241.2,36.2,77.4,0.468,4.2,11.0,0.383,32.0,66.3,0.482,20.0,26.7,0.751,12.0,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6
1996-97,NBA,110.9,108.9,Yes,239,CHH,54.0,28.0,4.0,29.1,6-5,213.0,82.0,241.5,36.4,77.3,0.471,7.2,16.9,0.428,29.2,60.5,0.483,18.8,24.2,0.777,11.1,28.0,39.1,24.6,7.3,4.3,14.7,20.8,98.9
1995-96,NBA,111.2,111.8,No,240,CHH,41.0,41.0,6.0,27.8,6-6,215.0,82.0,242.4,37.9,80.7,0.47,7.1,18.5,0.384,30.8,62.2,0.495,19.9,25.8,0.77,12.0,27.5,39.5,23.3,7.1,3.4,15.1,22.1,102.8
1994-95,NBA,109.6,106.1,Yes,241,CHH,50.0,32.0,2.0,28.0,6-4,206.0,82.0,241.5,37.2,78.5,0.474,6.8,17.2,0.397,30.4,61.3,0.495,19.4,24.9,0.777,10.1,29.2,39.4,25.3,7.6,4.9,14.9,20.5,100.6
1993-94,NBA,108.4,108.6,No,242,CHH,41.0,41.0,5.0,27.6,6-4,202.0,82.0,241.8,41.2,86.6,0.476,4.1,11.2,0.367,37.1,75.4,0.493,19.9,26.0,0.764,12.4,30.2,42.6,27.0,8.8,4.8,15.4,21.3,106.5
1992-93,NBA,109.5,109.7,Yes,243,CHH,44.0,38.0,3.0,25.7,6-4,203.0,82.0,240.9,42.8,87.9,0.487,2.1,6.5,0.326,40.7,81.4,0.5,22.3,29.0,0.771,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1
1991-92,NBA,107.1,110.9,No,244,CHH,31.0,51.0,7.0,25.2,6-4,204.0,82.0,241.5,44.1,92.3,0.477,1.4,4.5,0.317,42.6,87.8,0.486,20.0,26.4,0.755,14.2,28.9,43.1,27.9,10.0,3.8,15.5,22.2,109.5
1990-91,NBA,105.0,110.4,No,245,CHH,26.0,56.0,7.0,25.5,6-5,206.0,82.0,241.5,40.1,85.8,0.467,1.6,5.1,0.314,38.5,80.7,0.477,21.0,27.0,0.779,12.5,26.8,39.4,24.6,9.3,3.7,15.7,23.7,102.8
1989-90,NBA,102.0,109.9,No,246,CHH,19.0,63.0,7.0,25.6,6-4,204.0,82.0,240.9,39.9,87.6,0.455,2.5,7.5,0.336,37.4,80.1,0.466,18.1,24.0,0.756,11.7,27.0,38.7,25.4,9.5,3.2,15.0,23.0,100.4
1988-89,NBA,103.7,112.1,No,247,CHH,20.0,62.0,6.0,27.2,6-5,203.0,82.0,241.2,41.8,90.6,0.461,1.6,5.2,0.312,40.1,85.4,0.47,19.3,25.1,0.767,13.9,26.8,40.7,28.3,8.6,3.2,16.1,25.2,104.5
2024-25,NBA,114.1,115.6,No,248,CHI,39.0,43.0,5.0,25.2,6-7,211.0,82.0,240.9,43.2,92.0,0.47,15.4,42.0,0.367,27.8,50.0,0.556,16.0,19.7,0.809,10.1,35.8,45.9,29.1,7.6,4.7,14.7,17.6,117.8
2023-24,NBA,114.9,116.3,No,249,CHI,39.0,43.0,4.0,28.1,6-6,216.0,82.0,243.7,42.0,89.5,0.47,11.5,32.1,0.358,30.6,57.4,0.532,16.7,21.1,0.791,11.2,32.6,43.8,25.0,7.8,4.8,12.2,18.8,112.3
2022-23,NBA,113.5,112.2,No,250,CHI,40.0,42.0,3.0,27.5,6-6,214.0,82.0,242.7,42.5,86.8,0.49,10.4,28.9,0.361,32.1,57.9,0.555,17.6,21.8,0.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1
2021-22,NBA,113.2,113.6,Yes,251,CHI,46.0,36.0,2.0,26.3,6-6,213.0,82.0,240.6,41.7,86.9,0.48,10.6,28.8,0.369,31.1,58.1,0.535,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6
2020-21,NBA,111.1,112.0,No,252,CHI,31.0,41.0,3.0,25.6,6-6,218.0,72.0,241.4,42.2,88.6,0.476,12.6,34.0,0.37,29.6,54.6,0.542,13.8,17.5,0.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7
2019-20,NBA,106.7,109.8,No,253,CHI,22.0,43.0,3.0,24.4,6-7,219.0,65.0,241.2,39.6,88.6,0.447,12.2,35.1,0.348,27.4,53.5,0.511,15.5,20.5,0.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8
2018-19,NBA,104.8,113.2,No,254,CHI,22.0,60.0,4.0,24.0,6-6,219.0,82.0,242.7,39.8,87.9,0.453,9.1,25.9,0.351,30.7,62.0,0.496,16.2,20.7,0.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9
2017-18,NBA,103.8,110.9,No,255,CHI,27.0,55.0,5.0,24.4,6-7,216.0,82.0,242.1,38.7,88.8,0.435,11.0,31.1,0.355,27.6,57.8,0.478,14.6,19.2,0.759,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9
2016-17,NBA,107.4,107.0,Yes,256,CHI,41.0,41.0,4.0,26.9,6-7,221.0,82.0,241.2,38.6,87.1,0.444,7.6,22.3,0.34,31.0,64.8,0.479,18.0,22.5,0.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9
2015-16,NBA,105.0,106.5,No,257,CHI,42.0,40.0,4.0,27.6,6-7,215.0,82.0,242.7,38.6,87.4,0.441,7.9,21.4,0.371,30.7,66.1,0.464,16.5,21.0,0.787,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,101.6
2014-15,NBA,107.5,104.3,Yes,258,CHI,50.0,32.0,2.0,28.8,6-7,210.0,82.0,242.4,36.6,82.9,0.442,7.9,22.3,0.353,28.7,60.6,0.474,19.7,25.2,0.783,11.7,34.0,45.7,21.7,6.3,5.8,14.0,18.2,100.8
2013-14,NBA,102.5,100.5,Yes,259,CHI,48.0,34.0,2.0,28.6,6-7,217.0,82.0,243.0,34.7,80.2,0.432,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7
2012-13,NBA,103.5,103.2,Yes,260,CHI,45.0,37.0,2.0,28.0,6-6,215.0,82.0,241.8,35.7,81.7,0.437,5.4,15.4,0.353,30.2,66.3,0.456,16.4,21.2,0.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,93.2
2011-12,NBA,107.4,98.3,Yes,261,CHI,50.0,16.0,1.0,27.1,6-7,218.0,66.0,241.5,37.4,82.8,0.452,6.3,16.9,0.375,31.0,65.8,0.471,15.2,21.1,0.722,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3,96.3
2010-11,NBA,108.3,100.3,Yes,262,CHI,62.0,20.0,1.0,26.4,6-7,220.0,82.0,241.8,37.1,80.3,0.462,6.2,17.3,0.361,30.9,63.1,0.489,18.2,24.5,0.743,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20.0,98.6
2009-10,NBA,103.5,105.3,Yes,263,CHI,41.0,41.0,3.0,26.2,6-6,213.0,82.0,242.7,37.6,83.2,0.451,4.3,13.0,0.33,33.3,70.2,0.474,18.0,23.9,0.754,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,97.5
2008-09,NBA,108.4,108.7,Yes,264,CHI,41.0,41.0,2.0,24.9,6-6,212.0,82.0,243.0,38.1,83.5,0.457,6.0,15.8,0.381,32.1,67.7,0.474,19.9,25.0,0.796,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,102.2
2007-08,NBA,103.9,107.2,No,265,CHI,33.0,49.0,4.0,25.7,6-6,214.0,82.0,241.5,36.4,83.7,0.435,5.8,15.9,0.363,30.6,67.8,0.452,18.7,24.7,0.756,12.8,30.2,43.0,22.1,7.7,5.2,14.6,21.8,97.3
2006-07,NBA,104.9,99.6,Yes,266,CHI,49.0,33.0,3.0,26.0,6-6,214.0,82.0,241.2,37.1,81.3,0.457,5.9,15.1,0.388,31.3,66.2,0.473,18.6,25.4,0.734,12.0,31.7,43.7,22.3,7.8,5.4,16.0,23.3,98.8
2005-06,NBA,104.0,103.4,Yes,267,CHI,41.0,41.0,4.0,24.1,6-6,217.0,82.0,242.7,36.6,82.2,0.446,6.8,18.0,0.379,29.8,64.1,0.465,17.7,24.0,0.738,11.0,31.7,42.8,22.0,6.2,4.2,14.9,24.9,97.8
2004-05,NBA,101.4,100.3,Yes,268,CHI,47.0,35.0,2.0,25.0,6-6,218.0,82.0,241.8,34.7,80.4,0.432,6.2,17.5,0.357,28.5,62.9,0.453,18.7,25.0,0.75,12.2,31.6,43.8,21.3,7.0,4.5,16.7,24.7,94.5
2003-04,NBA,96.6,103.4,No,269,CHI,23.0,59.0,8.0,26.8,6-7,216.0,82.0,241.8,34.1,82.4,0.414,5.2,15.3,0.342,28.9,67.0,0.431,16.2,22.4,0.725,12.8,30.7,43.5,21.9,8.0,4.8,16.1,23.3,89.7
2002-03,NBA,100.2,105.6,No,270,CHI,30.0,52.0,6.0,25.2,6-7,220.0,82.0,243.0,36.5,81.9,0.445,4.3,12.2,0.35,32.2,69.7,0.462,17.7,24.6,0.722,12.0,31.0,43.0,21.7,7.4,5.6,16.9,24.7,95.0
2001-02,NBA,98.2,107.6,No,271,CHI,21.0,61.0,8.0,25.5,6-7,221.0,82.0,241.5,34.3,79.2,0.433,3.7,10.6,0.346,30.6,68.6,0.447,17.2,23.9,0.722,11.3,28.8,40.0,22.2,7.7,4.4,15.3,22.4,89.5
2000-01,NBA,97.2,107.3,No,272,CHI,15.0,67.0,8.0,23.2,6-6,229.0,82.0,242.1,33.2,78.2,0.424,4.0,11.6,0.346,29.2,66.6,0.438,17.2,23.3,0.739,11.3,27.6,38.9,22.1,8.2,4.6,15.8,23.2,87.6
1999-00,NBA,94.2,104.6,No,273,CHI,17.0,65.0,8.0,26.0,6-6,225.0,82.0,241.5,31.3,75.4,0.415,4.1,12.6,0.329,27.1,62.8,0.432,18.1,25.5,0.709,12.6,28.3,40.9,20.1,7.9,4.7,19.0,23.3,84.8
1998-99,NBA,92.4,103.0,No,274,CHI,13.0,37.0,8.0,28.6,6-6,212.0,50.0,241.5,30.8,76.7,0.401,3.5,12.2,0.289,27.2,64.5,0.422,16.8,23.7,0.709,11.5,27.9,39.3,20.3,8.7,3.4,15.5,22.2,81.9
1997-98,NBA,107.7,99.8,Yes,275,CHI,62.0,20.0,1.0,31.7,6-7,209.0,82.0,242.1,37.4,82.9,0.451,3.8,11.7,0.323,33.6,71.2,0.471,18.2,24.5,0.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7
1996-97,NBA,114.4,102.4,Yes,276,CHI,69.0,13.0,1.0,30.7,6-7,210.0,82.0,240.6,40.0,84.4,0.473,6.4,17.1,0.373,33.6,67.3,0.499,16.8,22.5,0.747,15.1,30.0,45.1,26.1,8.7,4.0,13.5,19.7,103.1
1995-96,NBA,115.2,101.8,Yes,277,CHI,72.0,10.0,1.0,29.9,6-7,209.0,82.0,240.6,40.2,84.0,0.478,6.6,16.5,0.403,33.5,67.6,0.496,18.2,24.4,0.746,15.2,29.4,44.6,24.8,9.1,4.2,14.3,22.0,105.2
1994-95,NBA,109.5,104.3,Yes,278,CHI,47.0,35.0,3.0,28.1,6-7,206.0,82.0,241.8,38.9,81.8,0.476,5.4,14.5,0.373,33.5,67.4,0.498,18.3,25.2,0.726,13.5,28.0,41.5,24.0,9.7,4.3,15.8,23.9,101.5
1993-94,NBA,106.1,102.7,Yes,279,CHI,55.0,27.0,2.0,27.7,6-7,205.0,82.0,241.2,39.6,83.1,0.476,2.8,8.0,0.354,36.7,75.1,0.489,16.0,22.7,0.705,13.9,29.2,43.1,25.6,9.0,4.3,15.9,21.3,98.0
1992-93,NBA,112.9,106.1,Yes,280,CHI,57.0,25.0,1.0,28.1,6-7,208.0,82.0,241.8,42.4,87.9,0.482,3.0,8.2,0.365,39.4,79.7,0.494,17.5,23.8,0.733,15.7,27.8,43.6,26.0,9.5,5.0,13.5,22.0,105.2
1991-92,NBA,115.5,104.5,Yes,281,CHI,67.0,15.0,1.0,27.6,6-7,207.0,82.0,241.8,44.4,87.4,0.508,1.7,5.5,0.304,42.7,81.9,0.522,19.4,26.0,0.744,14.3,29.7,44.0,27.8,8.2,5.9,13.3,20.6,109.9
1990-91,NBA,114.6,105.2,Yes,282,CHI,61.0,21.0,1.0,26.9,6-7,209.0,82.0,240.9,44.3,86.9,0.51,1.9,5.2,0.366,42.4,81.7,0.519,19.6,25.7,0.76,14.0,28.6,42.6,27.0,10.0,5.3,14.4,21.4,110.0
1989-90,NBA,112.3,109.0,Yes,283,CHI,55.0,27.0,2.0,26.1,6-7,210.0,82.0,241.8,43.1,86.5,0.498,3.0,8.2,0.374,40.0,78.3,0.511,20.3,26.1,0.778,13.1,27.8,40.9,26.5,9.9,4.7,15.2,23.2,109.5
1988-89,NBA,109.1,107.7,Yes,284,CHI,47.0,35.0,5.0,26.4,6-7,211.0,82.0,241.2,42.0,85.0,0.495,2.1,6.5,0.328,39.9,78.5,0.509,20.2,25.7,0.786,12.4,29.9,42.3,27.0,8.8,4.6,16.2,22.6,106.4
1987-88,NBA,109.0,105.5,Yes,285,CHI,50.0,32.0,2.0,25.5,6-7,210.0,82.0,242.1,41.9,85.5,0.49,0.7,3.0,0.23,41.2,82.6,0.499,20.5,27.1,0.759,14.3,30.0,44.3,26.2,8.7,5.8,15.4,22.5,105.0
1986-87,NBA,108.6,107.6,Yes,286,CHI,40.0,42.0,5.0,25.4,6-7,210.0,82.0,241.8,41.2,87.3,0.473,1.0,3.6,0.261,40.3,83.6,0.482,21.4,27.5,0.778,15.2,29.3,44.5,26.1,8.3,5.3,15.3,23.4,104.8
1985-86,NBA,108.6,112.4,Yes,287,CHI,30.0,52.0,4.0,26.6,6-7,206.0,82.0,242.1,42.4,88.1,0.481,1.1,3.9,0.278,41.3,84.3,0.49,23.4,30.5,0.769,15.6,27.8,43.4,24.5,7.4,4.9,17.5,26.4,109.3
1984-85,NBA,108.7,109.6,Yes,288,CHI,38.0,44.0,3.0,25.2,6-7,207.0,82.0,241.5,42.1,84.3,0.5,0.4,2.0,0.18,41.8,82.3,0.507,24.2,30.8,0.784,13.1,28.9,42.0,24.3,7.6,5.7,17.8,25.3,108.7
1983-84,NBA,102.4,107.5,No,289,CHI,27.0,55.0,5.0,24.4,6-7,207.0,82.0,243.7,40.3,85.0,0.474,0.2,1.4,0.171,40.1,83.6,0.479,22.8,30.6,0.746,13.9,28.0,42.0,25.5,8.4,5.5,19.2,26.8,103.7
1982-83,NBA,103.4,108.0,No,290,CHI,28.0,54.0,4.0,24.5,6-7,208.0,82.0,242.7,43.1,89.9,0.48,0.5,2.5,0.215,42.6,87.4,0.487,24.2,32.8,0.737,15.5,30.8,46.3,25.4,8.1,4.9,21.3,26.7,111.0
1981-82,NBA,106.6,108.6,No,291,CHI,34.0,48.0,5.0,26.5,6-7,207.0,82.0,242.4,41.1,82.0,0.501,0.7,2.6,0.254,40.4,79.5,0.509,23.8,31.0,0.767,13.7,30.8,44.5,24.9,7.1,5.9,20.0,24.5,106.6
1980-81,NBA,107.8,105.8,Yes,292,CHI,45.0,37.0,2.0,26.5,6-8,209.0,82.0,241.2,42.2,84.2,0.501,0.5,2.2,0.212,41.7,82.0,0.508,24.2,31.3,0.774,15.0,30.2,45.1,23.5,8.9,6.3,20.4,25.1,109.0
1979-80,NBA,104.3,107.0,No,293,CHI,30.0,52.0,4.0,25.9,6-7,208.0,82.0,242.7,41.0,84.7,0.484,0.9,3.4,0.255,40.1,81.3,0.494,24.6,31.6,0.779,13.6,30.1,43.7,26.2,8.6,4.8,20.5,26.2,107.5
2024-25,NBA,121.7,112.2,Yes,307,CLE,64.0,18.0,1.0,26.6,6-6,215.0,82.0,240.9,44.5,90.8,0.491,15.9,41.5,0.383,28.6,49.3,0.581,17.0,21.9,0.776,11.2,34.2,45.4,28.1,8.2,4.3,13.2,18.1,121.9
2023-24,NBA,115.2,112.7,Yes,308,CLE,48.0,34.0,2.0,26.2,6-6,218.0,82.0,241.5,41.8,87.2,0.479,13.5,36.8,0.367,28.3,50.4,0.561,15.6,20.4,0.765,9.8,33.4,43.3,28.0,7.4,4.6,13.6,17.5,112.6
2022-23,NBA,116.1,110.6,Yes,309,CLE,51.0,31.0,2.0,25.4,6-6,219.0,82.0,242.4,41.6,85.2,0.488,11.6,31.6,0.367,30.0,53.6,0.559,17.5,22.5,0.78,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19.0,112.3
2021-22,NBA,111.9,109.7,No,310,CLE,44.0,38.0,3.0,24.7,6-6,220.0,82.0,240.6,39.7,84.6,0.469,11.6,32.8,0.355,28.1,51.9,0.541,16.8,22.1,0.76,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,107.8
2020-21,NBA,105.8,114.4,No,311,CLE,22.0,50.0,4.0,24.0,6-6,223.0,72.0,242.1,38.6,85.8,0.45,10.0,29.7,0.336,28.6,56.0,0.51,16.7,22.4,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8
2019-20,NBA,107.5,115.4,No,312,CLE,19.0,46.0,5.0,25.0,6-5,221.0,65.0,241.9,40.3,87.9,0.458,11.2,31.8,0.351,29.1,56.1,0.519,15.1,19.9,0.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9
2018-19,NBA,107.7,117.6,No,313,CLE,19.0,63.0,5.0,25.2,6-6,219.0,82.0,240.9,38.9,87.6,0.444,10.3,29.1,0.355,28.6,58.5,0.488,16.4,20.7,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5
2017-18,NBA,112.9,111.9,Yes,314,CLE,50.0,32.0,1.0,30.6,6-6,227.0,82.0,240.6,40.4,84.8,0.476,12.0,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9
2016-17,NBA,113.6,110.3,Yes,315,CLE,51.0,31.0,1.0,29.2,6-6,228.0,82.0,242.4,39.9,84.9,0.47,13.0,33.9,0.384,26.9,51.0,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3
2015-16,NBA,110.9,104.5,Yes,316,CLE,57.0,25.0,1.0,28.1,6-7,231.0,82.0,242.1,38.7,84.0,0.46,10.7,29.6,0.362,27.9,54.4,0.514,16.3,21.7,0.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3
2014-15,NBA,111.1,106.3,Yes,317,CLE,53.0,29.0,1.0,26.9,6-7,225.0,82.0,241.2,37.7,82.2,0.458,10.1,27.5,0.367,27.6,54.7,0.504,17.7,23.6,0.751,11.1,31.9,43.0,22.1,7.4,4.1,14.3,18.4,103.1
2013-14,NBA,104.2,107.7,No,318,CLE,33.0,49.0,3.0,24.9,6-6,217.0,82.0,243.0,37.0,84.8,0.437,7.1,20.0,0.356,29.9,64.8,0.461,17.0,22.7,0.751,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20.0,98.2
